Company Pair,Count
"('Chevron', 'Devon Energy')",23
"('Devon Energy', 'Shell')",22
"('Korea Gas', 'Shell')",22
"('Alberta Energy Regulator', 'Suncor')",22
"('ExxonMobil', 'Repsol')",22
"('Anadarko Petroleum', 'Chevron')",22
"('ConocoPhillips', 'TotalEnergies')",22
"('CAPP', 'Twitter')",22
"('BP', 'Rosneft')",22
"('BP', 'Saudi Aramco')",22
"('Aker BP', 'Equinor')",22
"('Eagle Ford', 'Eastern')",22
"('BP', 'Ocean Energy')",22
"('CNRL', 'Cenovus')",22
"('BP', 'Halliburton')",22
"('Alliance', 'MEG Energy')",22
"('FPSO', 'TotalEnergies')",22
"('ESG', 'Prospera Energy ')",21
"('Baker Hughes', 'ExxonMobil')",21
"('Gazprom', 'Rosneft')",21
"('CNOOC', 'Chevron')",21
"('Devon Energy', 'Diamondback Energy')",21
"('Baker Hughes', 'Saudi Aramco')",21
"('Devon Energy', 'Enverus')",21
"('ConocoPhillips', 'Halliburton')",21
"('Enverus', 'Occidental')",21
"('Alliance', 'Shell')",21
"('ExxonMobil', 'Saudi Aramco')",21
"('Equinor', 'Statoil')",20
"('ExxonMobil', 'ONGC')",20
"('ExxonMobil', 'Halliburton')",20
"('Statoil', 'Twitter')",20
"('ExxonMobil', 'Suncor')",20
"('Bloomberg', 'ExxonMobil')",20
"('Obsidian Energy', 'Peace River Oil Partnership')",20
"('Keyera', 'Pembina')",20
"('Alliance', 'Generations Energy')",20
"('ADNOC', 'BP')",20
"('Eagle Ford', 'Rystad Energy')",20
"('Baker Hughes', 'Equinor')",20
"('Alliance', 'Delphi Energy')",19
"('ESG', 'Tamarack Valley')",19
"('Twitter', 'UN')",19
"('Devon Energy', 'ExxonMobil')",19
"('Cameron', 'ROK Resources')",19
"('ConocoPhillips', 'SLB')",19
"('Chevron', 'Continental')",19
"('Halliburton', 'Weatherford')",19
"('Baker Hughes', 'Goldman Sachs')",19
"('Pembina', 'Saturn')",19
"('Alberta Energy Regulator', 'ESG')",19
"('IHS', 'Twitter')",19
"('Freeport LNG', 'Southwestern Energy')",19
"('Chevron', 'Statoil')",19
"('Carbon Solutions', 'ExxonMobil')",19
"('Chevron', 'Diamondback Energy')",19
"('Chevron', 'ESG')",19
"('ExxonMobil', 'Statoil')",19
"('Alliance', 'Suncor')",19
"('Eastern', 'Emerson')",19
"('Baker Hughes', 'Rystad Energy')",18
"('FPSO', 'Husky Energy')",18
"('Bloomberg', 'Shell')",18
"('Phillips 66', 'Valero Energy')",18
"('Athabasca Oil Corporation', 'Keystone')",18
"('Equinor', 'Occidental')",18
"('Alliance', 'Twitter')",18
"('McDaniel & Associates Consultants', 'Tourmaline')",18
"('Pemex', 'Talos Energy')",18
"('OMV', 'Shell')",18
"('ADNOC', 'SLB')",18
"('Chesapeake', 'Dell')",18
"('Baker Hughes', 'Chesapeake')",18
"('Ironhorse Oil & Gas', 'Pembina')",18
"('Eastern', 'Kinder Morgan')",18
"('Equinor', 'SLB')",18
"('Birchcliff Energy', 'Deloitte')",18
"('Ocean Energy', 'Shell')",18
"('PLC', 'Shell')",18
"('CAPP', 'Keystone')",18
"('CNOOC', 'China National Offshore Oil ')",18
"('BP', 'ESG')",18
"('Chesapeake', 'Enverus')",18
"('Diamondback Energy', 'Enverus')",18
"('Diamondback Energy', 'Occidental')",17
"('Alberta Energy Regulator', 'Nexen')",17
"('Eagle Ford', 'ExxonMobil')",17
"('Shell', 'Suncor')",17
"('Devon Energy', 'Occidental')",17
"('Perpetual Energy', 'Tourmaline')",17
"('Halliburton', 'Rystad Energy')",17
"('Canadian Natural Resources', 'ESG')",17
"('Equinor', 'Halliburton')",17
"('Gazprom', 'Shell')",17
"('Eastern', 'FPSO')",17
"('Apache', 'ExxonMobil')",17
"('Chevron', 'Ocean Energy')",17
"('CNPC', 'China National Petroleum')",17
"('Enbridge', 'Suncor')",17
"('Alliance', 'McDaniel & Associates Consultants')",16
"('ConocoPhillips', 'Saudi Aramco')",16
"('Apache', 'Eagle Ford')",16
"('Apache', 'ConocoPhillips')",16
"('ESG', 'UN')",16
"('Eastern', 'SLB')",16
"('Shell', 'Woodside')",16
"('Kinder Morgan', 'Pembina')",16
"('Pembina', 'Penn West')",16
"('ConocoPhillips', 'Continental')",16
"('Equinor', 'Rystad Energy')",16
"('Eagle Ford', 'Occidental')",16
"('Canadian Oil Sands', 'Twitter')",16
"('ConocoPhillips', 'Enverus')",16
"('Alliance', 'Crew Energy')",16
"('Alliance', 'SLB')",16
"('American Petroleum Institute', 'Keystone')",16
"('Continental', 'Ocean Energy')",16
"('Baker Hughes', 'Occidental')",16
"('BP', 'Bloomberg')",16
"('Keystone', 'Pembina')",16
"('ESG', 'Eagle Ford')",16
"('Emerson', 'Peyto Exploration & Development')",15
"('Canadian Natural Resources', 'Shell')",15
"('Devon Energy', 'EnLink Midstream')",15
"('Cenovus', 'Husky Energy')",15
"('Aker BP', 'Continental')",15
"('Halliburton', 'Occidental')",15
"('Chevron', 'PDC Energy')",15
"('Baker Hughes', 'ConocoPhillips')",15
"('CNPC', 'Shell')",15
"('BG', 'BP')",15
"('Halliburton', 'Saudi Aramco')",15
"('Eagle Ford', 'Marathon Oil')",15
"('BP', 'Twitter')",14
"('Cameron', 'Venture Global')",14
"('Dakota Access Pipeline', 'Enerplus')",14
"('Cameron', 'Freeport LNG')",14
"('Hyperion Exploration', 'Pembina')",14
"('Equinor', 'Saudi Aramco')",14
"('Eagle Ford', 'Ovintiv')",14
"('Generations Energy', 'McDaniel & Associates Consultants')",14
"('Alberta Energy Regulator', 'McDaniel & Associates Consultants')",14
"('Enverus', 'ExxonMobil')",14
"('Diamondback Energy', 'Eagle Ford')",14
"('Alliance', 'Deloitte')",14
"('Apache', 'Shell')",14
"('Repsol', 'Talisman')",14
"('Bellatrix Exploration', 'Grafton Energy Co')",14
"('Cenovus', 'FPSO')",14
"('ConocoPhillips', 'EOG')",14
"('ADNOC', 'Shell')",14
"('Energy Transfer Partners', 'Keystone')",14
"('BP', 'Phillips 66')",14
"('Rosneft', 'Shell')",14
"('AltaGas', 'Idemitsu')",14
"('Topaz Energy Corp.', 'Tourmaline')",14
"('ESG', 'Keystone')",14
"('Alberta Energy Regulator', 'Shell')",14
"('Crescent Point', 'ESG')",14
"('Alliance', 'Keystone')",14
"('Alliance', 'ExxonMobil')",14
"('Chesapeake', 'Chevron')",14
"('BG', 'Chevron')",14
"('Deloitte', 'Shell')",14
"('Alberta Energy Regulator', 'Alliance')",14
"('ConocoPhillips', 'ESG')",14
"('Alliance', 'Saturn')",14
"('Chesapeake', 'Occidental')",14
"('Pembina', 'Suncor')",14
"('BP', 'Enbridge')",14
"('Continental', 'ExxonMobil')",14
"('Marathon Petroleum Corp', 'Valero Energy')",14
"('ONGC', 'Rosneft')",14
"('Cheniere Energy', 'Tellurian')",13
"('Alberta Energy Regulator', 'Eastern')",13
"('Esso', 'Stabroek')",13
"('IHS', 'Keystone')",13
"('Cenovus', 'Tourmaline')",13
"('Gazprom', 'Siemens')",13
"('Alberta Energy Regulator', 'Enbridge')",13
"('Chesapeake', 'ExxonMobil')",13
"('Enbridge', 'Pembina')",13
"('Eagle Ford', 'SLB')",13
"('Occidental', 'SLB')",13
"('Canadian Natural Resources', 'Cenovus')",13
"('Keyera', 'Pipestone Energy')",13
"('Dakota Access Pipeline', 'Energy Transfer Partners')",13
"('BP', 'Devon Energy')",13
"('Chevron', 'Talos Energy')",13
"('DOE', 'Shell')",13
"('Chevron', 'EOG')",13
"('Equinor', 'OMV')",13
"('Shell', 'UN')",13
"('Baker Hughes', 'Simmons Energy')",13
"('BP', 'ONGC')",13
"('Rystad Energy', 'SLB')",13
"('Prairie Storm Resources', 'Storm Resources')",13
"('KKR', 'Pembina')",13
"('BP', 'Gazprom')",13
"('BP', 'CNOOC')",13
"('ConocoPhillips', 'Petroleum Reserve')",13
"('ExxonMobil', 'Qatar Petroleum')",13
"('EverGreen', 'Precision Drilling Corporation')",12
"('Cheniere Energy', 'Sempra Energy')",12
"('Pembina', 'Shell')",12
"('BP', 'Goldman Sachs')",12
"('ConocoPhillips', 'Keystone')",12
"('Chesapeake', 'Comstock Resources')",12
"('ESG', 'Twitter')",12
"('ADNOC', 'Halliburton')",12
"('Canbriam', 'Suncor')",12
"('CNOOC', 'Equinor')",12
"('ESG', 'ExxonMobil')",12
"('Canadian Natural Resources', 'FPSO')",12
"('Alliance', 'AltaGas')",12
"('Deloitte', 'ESG')",12
"('Baytex', 'Crescent Point')",12
"('ESG', 'Spartan Delta Corp')",12
"('Concho Resources', 'ConocoPhillips')",12
"('PETRONAS', 'Progress Energy')",12
"('American Petroleum Institute', 'Goldman Sachs')",12
"('ESG', 'International Petroleum')",12
"('BP', 'GE')",12
"('SLB', 'TotalEnergies')",12
"('CNOOC', 'TotalEnergies')",12
"('CNRL', 'Tourmaline')",12
"('Shell', 'Tourmaline')",12
"('Equinor', 'Neptune')",12
"('Eastern', 'Equinor')",12
"('Shell', 'Talos Energy')",12
"('Alliance', 'Cameron')",12
"('CNPC', 'ExxonMobil')",12
"('IHS', 'Rystad Energy')",12
"('ESG', 'Phillips 66')",12
"('Keystone', 'UN')",12
"('American Petroleum Institute', 'BP')",12
"('Cenovus', 'Shell')",12
"('ExxonMobil', 'Gazprom')",12
"('Chord Energy', 'Enerplus')",12
"('Keyera', 'NuVista Energy')",12
"('Continental', 'Devon Energy')",12
"('Freeport LNG', 'Rystad Energy')",12
"('Dakota Access Pipeline', 'Keystone')",11
"('Peace River Oil Partnership', 'Pembina')",11
"('Occidental', 'Rystad Energy')",11
"('Instagram', 'Twitter')",11
"('CNOOC', 'Esso')",11
"('Equinor', 'Ocean Energy')",11
"('Dakota Access Pipeline', 'Twitter')",11
"('ConocoPhillips', 'Diamondback Energy')",11
"('Imperial Oil', 'Suncor')",11
"('ESG', 'Gibson Energy')",11
"('Alliance', 'Phillips 66')",11
"('Barclays', 'Twitter')",11
"('BP', 'IHS')",11
"('Esso', 'FPSO')",11
"('BP', 'Suncor')",11
"('Chevron', 'Royal Dutch Shell')",11
"('Diamondback Energy', 'Rystad Energy')",11
"('CNRL', 'Intel')",11
"('Barclays', 'Goldman Sachs')",11
"('CNRL', 'Crescent Point')",11
"('Cenovus', 'McDaniel & Associates Consultants')",11
"('Tellurian', 'Woodside')",11
"('Chevron', 'Phillips 66')",11
"('BP', 'Enverus')",11
"('Chevron', 'Texaco')",11
"('ExxonMobil', 'Royal Dutch Shell')",11
"('Baker Hughes', 'Devon Energy')",11
"('Microsoft', 'Shell')",11
"('ExxonMobil', 'IHS')",11
"('Suncor', 'UN')",11
"('BP', 'Keystone')",11
"('Eagle Ford', 'Talisman')",11
"('Freeport LNG', 'Venture Global')",11
"('Cenovus', 'Whitecap')",11
"('Apache', 'Twitter')",11
"('ConocoPhillips', 'Marathon Oil')",11
"('Enbridge', 'Energy Transfer Partners')",11
"('Occidental', 'Saudi Aramco')",11
"('Chevron', 'Transocean')",11
"('Alliance', 'Kinder Morgan')",11
"('BP', 'OMV')",11
"('BP', 'Woods')",11
"('Cenovus', 'ExxonMobil')",11
"('ConocoPhillips', 'Statoil')",11
"('Shell', 'Woods')",11
"('CNRL', 'Suncor')",11
"('Gazprom', 'Novatek')",11
"('Chevron', 'Tengiz')",11
"('ExxonMobil', 'Keystone')",11
"('Deloitte', 'Pembina')",11
"('Apache', 'Devon Energy')",11
"('ESG', 'NuVista Energy')",11
"('Alliance', 'Canadian Natural Resources')",11
"('ADNOC', 'ExxonMobil')",11
"('Long Run Exploration', 'Sinoenergy')",11
"('Alberta Energy Regulator', 'FPSO')",11
"('CAPP', 'Kinder Morgan')",10
"('Strath Resources', 'Waterous Energy Fund')",10
"('OMV', 'SLB')",10
"('ConocoPhillips', 'Suncor')",10
"('Shell', 'Vermilion Energy')",10
"('BP', 'Kinder Morgan')",10
"('Chevron', 'OMV')",10
"('BP', 'Talos Energy')",10
"('APA', 'Chevron')",10
"('ConocoPhillips', 'Repsol')",10
"('BP', 'Transocean')",10
"('EOG', 'Shell')",10
"('Marathon Oil', 'Shell')",10
"('Ecopetrol', 'Shell')",10
"('BP', 'Husky Energy')",10
"('Cameron', 'Keystone')",10
"('Baker Hughes', 'Continental')",10
"('Baker Hughes', 'Twitter')",10
"('Diamondback Energy', 'Parsley Energy')",10
"('Enbridge', 'Shell')",10
"('Keystone', 'Phillips 66')",10
"('Eagle Ford', 'Statoil')",10
"('Continental', 'FPSO')",10
"('Cenovus', 'Enbridge')",10
"('Suncor', 'TotalEnergies')",10
"('ESG', 'Goldman Sachs')",10
"('BP', 'Pembina')",10
"('APA', 'Equinor')",10
"('Freeport LNG', 'Kinder Morgan')",10
"('Amazon', 'Shell')",10
"('Enerplus', 'McDaniel & Associates Consultants')",10
"('ONGC', 'Shell')",10
"('Cenovus', 'Crescent Point')",10
"('Eagle Ford', 'SM Energy')",10
"('Esso', 'Imperial Oil')",10
"('Devon Energy', 'Rystad Energy')",10
"('Bloomberg', 'Chevron')",10
"('Enverus', 'Rystad Energy')",10
"('Bellatrix Exploration', 'Pembina')",10
"('Chevron', 'FPSO')",10
"('BP', 'Pemex')",10
"('BP', 'Kosmos Energy')",10
"('Cheniere Energy', 'Gazprom')",10
"('Petroleum Reserve', 'Phillips 66')",10
"('Golden Pass', 'Venture Global')",10
"('Eastern', 'Pembina')",10
"('Novatek', 'TotalEnergies')",10
"('ADNOC', 'Chevron')",10
"('Baker Hughes', 'Bloomberg')",10
"('BP', 'Cenovus')",10
"('Apple', 'Google')",10
"('KBR', 'Shell')",10
"('ADNOC', 'Saudi Aramco')",10
"('DOE', 'Petroleum Reserve')",10
